query_id,query,expected_query_type,detected_query_type,route_subtype,classifier_mentioned,normalization_mentioned,split_values_mentioned,expected_combination_key,combination_key_exists,route_match,retrieved_context_keys
Q1,What is the overall pattern observed across split values?,scenario_overview,scenario_overview,overall_pattern,[],[],[],,False,True,"[""scenario_overview"",""overall_pattern_counts"",""dominant_observation"",""split_values"",""metric""]"
Q2,Which classifier appears most batch-sensitive?,classifier_comparison,classifier_comparison,batch_sensitive_classifier,[],[],[],,False,True,"[""classifier_level_evidence"",""most_sensitive_combinations"",""overall_pattern_counts""]"
Q3,Which normalization method appears most stable across classifiers?,normalization_comparison,normalization_comparison,stable_normalization,[],[],[],,False,True,"[""normalization_level_evidence"",""most_stable_combinations"",""most_sensitive_combinations""]"
Q4,Which classifier-normalization combination appears most stable?,classifier_comparison,classifier_comparison,stable_combination_comparison,[],[],[],,False,True,"[""most_stable_combinations"",""combination_lookup""]"
Q5,How does split=100 differ from split=50 in this experiment?,split_interpretation,split_interpretation,split_50_vs_100,[],[],"[50,100]",,False,True,"[""split_values"",""metric"",""interpretation_note"",""most_sensitive_combinations"",""most_stable_combinations""]"
Q6,What does a large delta_100_50 indicate?,split_interpretation,split_interpretation,delta_interpretation,[],[],[],,False,True,"[""metric"",""interpretation_note"",""most_sensitive_combinations"",""combination_lookup""]"
Q7,How should I interpret knn with vsn normalization?,specific_combination,specific_combination,specific_combination,"[""knn""]","[""vsn""]",[],knn|vsn,True,True,"[""combination_lookup""]"
Q8,Are the LLM-generated interpretations consistent with the observed evidence?,grounding_reliability,grounding_reliability,grounding_consistency,[],[],[],,False,True,"[""grounding_summary"",""llm_analysis"",""project_constraints""]"
Q9,What are the main limitations of this analysis?,limitation_summary,limitation_summary,limitations,[],[],[],,False,True,"[""project_constraints"",""analysis_scope_note"",""grounding_summary"",""llm_analysis""]"
Q10,Can you summarize the result in a report-ready paragraph?,report_ready_summary,report_ready_summary,report_ready_summary,[],[],[],,False,True,"[""scenario_overview"",""dominant_observation"",""most_sensitive_combinations"",""most_stable_combinations"",""classifier_level_evidence"",""normalization_level_evidence"",""project_constraints""]"
