query_id,query,detected_query_type,route_subtype,generation_mode,required_sections_passed,forbidden_claims_passed,evidence_terms_passed,entity_coverage_passed,evidence_key_alignment_passed,limitation_present,numeric_grounding_passed,warning_count,warnings,quality_status
Q1,What is the overall pattern observed across split values?,scenario_overview,overall_pattern,api_grounded_demo_optional,True,True,True,True,True,True,True,0,[],fail
Q2,Which classifier appears most batch-sensitive?,classifier_comparison,batch_sensitive_classifier,api_grounded_demo_optional,True,True,True,False,True,True,True,1,"[""missing_entities: ['top classifier plus supporting combination or at least two classifiers']""]",fail
Q3,Which normalization method appears most stable across classifiers?,normalization_comparison,stable_normalization,api_grounded_demo_optional,True,True,True,True,True,True,False,1,"[""ungrounded_numeric_values: ['0.195']""]",fail
Q4,Which classifier-normalization combination appears most stable?,classifier_comparison,stable_combination_comparison,api_grounded_demo_optional,True,True,True,False,True,True,False,2,"[""missing_entities: ['svm|non']"",""ungrounded_numeric_values: ['0', '0.000', '1', '1.000', '2', '2.000', '3', '3.000', '4', '4.000', '5', '5.000']""]",fail
Q5,How does split=100 differ from split=50 in this experiment?,split_interpretation,split_50_vs_100,api_grounded_demo_optional,True,True,True,True,True,True,False,1,"[""ungrounded_numeric_values: ['0', '0.000']""]",fail
Q6,What does a large delta_100_50 indicate?,split_interpretation,delta_interpretation,api_grounded_demo_optional,True,True,True,False,True,True,False,2,"[""missing_entities: ['knn|vsn', 'svm|non']"",""ungrounded_numeric_values: ['0', '0.000', '0.420']""]",fail
Q7,How should I interpret knn with vsn normalization?,specific_combination,specific_combination,api_grounded_demo_optional,True,True,False,True,True,True,False,2,"[""missing_evidence_terms: ['robustness_flag', 'degradation_type', 'pattern_strength']"",""ungrounded_numeric_values: ['0', '0.000']""]",fail
Q8,Are the LLM-generated interpretations consistent with the observed evidence?,grounding_reliability,grounding_consistency,api_grounded_demo_optional,True,True,True,True,True,True,False,1,"[""ungrounded_numeric_values: ['0', '0.000', '100', '100.000', '2', '2.000', '50', '50.000']""]",fail
Q9,What are the main limitations of this analysis?,limitation_summary,limitations,api_grounded_demo_optional,True,True,False,True,True,True,False,2,"[""missing_evidence_terms: ['scenario']"",""ungrounded_numeric_values: ['0', '0.000', '100', '100.000', '50', '50.000']""]",fail
Q10,Can you summarize the result in a report-ready paragraph?,report_ready_summary,report_ready_summary,api_grounded_demo_optional,True,True,False,False,True,True,True,2,"[""missing_evidence_terms: ['knn|vsn', 'svm|non', 'pass_with_warnings']"",""missing_entities: ['knn|vsn', 'svm|non']""]",fail
