query_id,query,detected_query_type,route_subtype,generation_mode,required_sections_passed,forbidden_claims_passed,evidence_terms_passed,entity_coverage_passed,evidence_key_alignment_passed,limitation_present,numeric_grounding_passed,warning_count,warnings,quality_status
Q1,What is the overall pattern observed across split values?,scenario_overview,overall_pattern,template_based_grounded_demo,True,True,True,True,True,True,True,0,[],pass
Q2,Which classifier appears most batch-sensitive?,classifier_comparison,batch_sensitive_classifier,template_based_grounded_demo,True,True,True,True,True,True,True,0,[],pass
Q3,Which normalization method appears most stable across classifiers?,normalization_comparison,stable_normalization,template_based_grounded_demo,True,True,True,False,True,True,True,1,"[""missing_entities: ['non plus comparison against other normalization methods']""]",pass_with_warnings
Q4,Which classifier-normalization combination appears most stable?,classifier_comparison,stable_combination_comparison,template_based_grounded_demo,True,True,True,True,True,True,False,1,"[""ungrounded_numeric_values: ['0', '0.000']""]",pass_with_warnings
Q5,How does split=100 differ from split=50 in this experiment?,split_interpretation,split_50_vs_100,template_based_grounded_demo,True,True,True,True,True,True,False,1,"[""ungrounded_numeric_values: ['0', '0.000']""]",pass_with_warnings
Q6,What does a large delta_100_50 indicate?,split_interpretation,delta_interpretation,template_based_grounded_demo,True,True,True,True,True,True,False,1,"[""ungrounded_numeric_values: ['0', '0.000']""]",pass_with_warnings
Q7,How should I interpret knn with vsn normalization?,specific_combination,specific_combination,template_based_grounded_demo,True,True,True,True,True,True,False,1,"[""ungrounded_numeric_values: ['0', '0.000']""]",pass_with_warnings
Q8,Are the LLM-generated interpretations consistent with the observed evidence?,grounding_reliability,grounding_consistency,template_based_grounded_demo,True,True,True,True,True,True,True,0,[],pass
Q9,What are the main limitations of this analysis?,limitation_summary,limitations,template_based_grounded_demo,True,True,True,True,True,True,True,0,[],pass
Q10,Can you summarize the result in a report-ready paragraph?,report_ready_summary,report_ready_summary,template_based_grounded_demo,True,True,True,True,True,True,True,0,[],pass
